,,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
payment_year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,UnRedeemed
county,vocationaluse,,,,,,,,,,,,,,
Tulare County,Bus - Medium Duty,,,,,,,,,,,560000.0,320000.0,,207000.0
Tulare County,Bus - School,,,,,,,,,,660000.0,220000.0,,1410000.0,2996055.62
Tulare County,Panel/ Step/ Cargo Van,,20000.0,,,,,,,,,,,,850000.0
Tulare County,Truck - Box,,,,62000.0,146000.0,69000.0,46000.0,,,,,,,1908000.0
Tulare County,Truck - Tractor,,,,,,,,,,,90000.0,1489000.0,,816000.0
Tulare County,※ Infrastructure,,,,,,,,,,,,,173175.0,
Tuolumne County,Panel/ Step/ Cargo Van,,,,,,,,,,,,,,51750.0
Ventura County,Bus - Heavy Duty/Transit,,,,,,,,,,,140000.0,,,
Ventura County,Bus - Medium Duty,,,,,,,,,,,,,,308000.0
Ventura County,Bus - School,,,,,,,,,,,,,,833250.0
Ventura County,Misc / other,,,,,,60000.0,,26082.0,,635000.0,106000.0,50000.0,,60000.0
Ventura County,Panel/ Step/ Cargo Van,,,,,,,,,,,90000.0,,,56250.0
Ventura County,Truck - Box,,65000.0,25000.0,925000.0,229000.0,115000.0,156000.0,59000.0,92000.0,15000.0,,,,
Ventura County,Truck - Straight,,,,,,,,,,,,,,595000.0
Ventura County,Truck - Tractor,125000.0,,,,,,,,,,,,,
Ventura County,※ Infrastructure,,,,,,,,,,,14400.0,,,
Yolo County,Bus - Heavy Duty/Transit,,,,,,,,,,,900000.0,,,1380000.0
Yolo County,Bus - School,,,,,,,,,,940000.0,660000.0,,,437250.0
Yolo County,Misc / other,,,,,,,,,32000.0,30000.0,27000.0,160000.0,,40000.0
Yolo County,Panel/ Step/ Cargo Van,,50000.0,50000.0,,,60000.0,,,180000.0,,6000.0,,,660000.0
Yolo County,Truck - Box,,,25000.0,25000.0,,92000.0,69000.0,,,,,,,
Yolo County,Truck - Tractor,,145000.0,75000.0,,,,,,160000.0,160000.0,,,,240000.0
Yolo County,※ Infrastructure,,,,,,,,,,,58900.0,,,
Yuba County,Bus - School,,,,,,,,,,,,,,239250.0
Yuba County,Misc / other,,,,,,,,,,,,,,60000.0
Yuba County,Truck - Tractor,140000.0,25000.0,,,,,,,,,,,,
